"location_id","country","latitude","longitude","year"
204,"Italy","41.87194","12.56738",-187
167,"Israel","31.046051","34.851612",-1480
202,"Greece","39.074208","21.824312",-1190
167,"Israel","31.046051","34.851612",-1141
204,"Italy","41.87194","12.56738",-790
167,"Israel","31.046051","34.851612",-1141
167,"Israel","31.046051","34.851612",-701
202,"Greece","39.074208","21.824312",-600
202,"Greece","39.074208","21.824312",-580
204,"Italy","41.87194","12.56738",-182
204,"Italy","41.87194","12.56738",-181
204,"Italy","41.87194","12.56738",-180
204,"Italy","41.87194","12.56738",-174
204,"Italy","41.87194","12.56738",-165
204,"Italy","41.87194","12.56738",-142
204,"Italy","41.87194","12.56738",-126
23,"Tunisia","33.886917","9.537499",-125
22,"Libya","26.3351","17.228331",-125
25,"Algeria","28.033886","1.659626",-125
151,"Turkey","38.963745","35.243322",-74
204,"Italy","41.87194","12.56738",-43
204,"Italy","41.87194","12.56738",-23
204,"Italy","41.87194","12.56738",-22
202,"Greece","39.074208","21.824312",15
22,"Libya","26.3351","17.228331",15
168,"Syria","34.802075","38.996815",15
204,"Italy","41.87194","12.56738",65
204,"Italy","41.87194","12.56738",77
204,"Italy","41.87194","12.56738",79
151,"Turkey","38.963745","35.243322",95
151,"Turkey","38.963745","35.243322",148
124,"China","35.86166","104.195397",160
204,"Italy","41.87194","12.56738",168
202,"Greece","39.074208","21.824312",168
151,"Turkey","38.963745","35.243322",168
168,"Syria","34.802075","38.996815",168
210,"Spain","40.463667","-3.74922",168
209,"Portugal","39.399872","-8.224454",168
24,"Egypt","26.820553","30.802498",124
26,"Morocco","31.791702","-7.09262",168
23,"Tunisia","33.886917","9.537499",168
22,"Libya","26.3351","17.228331",168
25,"Algeria","28.033886","1.659626",168
24,"Egypt","26.820553","30.802498",168
24,"Egypt","26.820553","30.802498",178
204,"Italy","41.87194","12.56738",182
204,"Italy","41.87194","12.56738",191
204,"Italy","41.87194","12.56738",117
202,"Greece","39.074208","21.824312",117
151,"Turkey","38.963745","35.243322",117
168,"Syria","34.802075","38.996815",117
210,"Spain","40.463667","-3.74922",117
209,"Portugal","39.399872","-8.224454",117
26,"Morocco","31.791702","-7.09262",117
23,"Tunisia","33.886917","9.537499",117
22,"Libya","26.3351","17.228331",117
25,"Algeria","28.033886","1.659626",117
24,"Egypt","26.820553","30.802498",117
204,"Italy","41.87194","12.56738",118
202,"Greece","39.074208","21.824312",118
151,"Turkey","38.963745","35.243322",118
168,"Syria","34.802075","38.996815",118
210,"Spain","40.463667","-3.74922",118
209,"Portugal","39.399872","-8.224454",118
26,"Morocco","31.791702","-7.09262",118
23,"Tunisia","33.886917","9.537499",118
22,"Libya","26.3351","17.228331",118
25,"Algeria","28.033886","1.659626",118
24,"Egypt","26.820553","30.802498",118
204,"Italy","41.87194","12.56738",119
202,"Greece","39.074208","21.824312",119
151,"Turkey","38.963745","35.243322",119
168,"Syria","34.802075","38.996815",119
210,"Spain","40.463667","-3.74922",119
209,"Portugal","39.399872","-8.224454",119
26,"Morocco","31.791702","-7.09262",119
23,"Tunisia","33.886917","9.537499",119
22,"Libya","26.3351","17.228331",119
25,"Algeria","28.033886","1.659626",119
24,"Egypt","26.820553","30.802498",119
204,"Italy","41.87194","12.56738",120
202,"Greece","39.074208","21.824312",120
151,"Turkey","38.963745","35.243322",120
168,"Syria","34.802075","38.996815",120
210,"Spain","40.463667","-3.74922",120
209,"Portugal","39.399872","-8.224454",120
26,"Morocco","31.791702","-7.09262",120
23,"Tunisia","33.886917","9.537499",120
22,"Libya","26.3351","17.228331",120
25,"Algeria","28.033886","1.659626",120
24,"Egypt","26.820553","30.802498",120
204,"Italy","41.87194","12.56738",121
202,"Greece","39.074208","21.824312",121
151,"Turkey","38.963745","35.243322",121
168,"Syria","34.802075","38.996815",121
210,"Spain","40.463667","-3.74922",121
209,"Portugal","39.399872","-8.224454",121
26,"Morocco","31.791702","-7.09262",121
23,"Tunisia","33.886917","9.537499",121
22,"Libya","26.3351","17.228331",121
25,"Algeria","28.033886","1.659626",121
24,"Egypt","26.820553","30.802498",121
204,"Italy","41.87194","12.56738",122
202,"Greece","39.074208","21.824312",122
151,"Turkey","38.963745","35.243322",122
168,"Syria","34.802075","38.996815",122
210,"Spain","40.463667","-3.74922",122
209,"Portugal","39.399872","-8.224454",122
26,"Morocco","31.791702","-7.09262",122
23,"Tunisia","33.886917","9.537499",122
22,"Libya","26.3351","17.228331",122
25,"Algeria","28.033886","1.659626",122
24,"Egypt","26.820553","30.802498",122
204,"Italy","41.87194","12.56738",123
202,"Greece","39.074208","21.824312",123
151,"Turkey","38.963745","35.243322",123
168,"Syria","34.802075","38.996815",123
210,"Spain","40.463667","-3.74922",123
209,"Portugal","39.399872","-8.224454",123
26,"Morocco","31.791702","-7.09262",123
23,"Tunisia","33.886917","9.537499",123
22,"Libya","26.3351","17.228331",123
25,"Algeria","28.033886","1.659626",123
24,"Egypt","26.820553","30.802498",123
204,"Italy","41.87194","12.56738",124
202,"Greece","39.074208","21.824312",124
151,"Turkey","38.963745","35.243322",124
168,"Syria","34.802075","38.996815",124
210,"Spain","40.463667","-3.74922",124
209,"Portugal","39.399872","-8.224454",124
26,"Morocco","31.791702","-7.09262",124
23,"Tunisia","33.886917","9.537499",124
22,"Libya","26.3351","17.228331",124
25,"Algeria","28.033886","1.659626",124
204,"Italy","41.87194","12.56738",125
202,"Greece","39.074208","21.824312",125
151,"Turkey","38.963745","35.243322",125
168,"Syria","34.802075","38.996815",125
210,"Spain","40.463667","-3.74922",125
209,"Portugal","39.399872","-8.224454",125
26,"Morocco","31.791702","-7.09262",125
23,"Tunisia","33.886917","9.537499",125
22,"Libya","26.3351","17.228331",125
25,"Algeria","28.033886","1.659626",125
24,"Egypt","26.820553","30.802498",125
204,"Italy","41.87194","12.56738",126
202,"Greece","39.074208","21.824312",126
151,"Turkey","38.963745","35.243322",126
168,"Syria","34.802075","38.996815",126
210,"Spain","40.463667","-3.74922",126
209,"Portugal","39.399872","-8.224454",126
26,"Morocco","31.791702","-7.09262",126
23,"Tunisia","33.886917","9.537499",126
22,"Libya","26.3351","17.228331",126
25,"Algeria","28.033886","1.659626",126
24,"Egypt","26.820553","30.802498",126
204,"Italy","41.87194","12.56738",127
202,"Greece","39.074208","21.824312",127
151,"Turkey","38.963745","35.243322",127
168,"Syria","34.802075","38.996815",127
210,"Spain","40.463667","-3.74922",127
209,"Portugal","39.399872","-8.224454",127
26,"Morocco","31.791702","-7.09262",127
23,"Tunisia","33.886917","9.537499",127
22,"Libya","26.3351","17.228331",127
25,"Algeria","28.033886","1.659626",127
24,"Egypt","26.820553","30.802498",127
204,"Italy","41.87194","12.56738",128
202,"Greece","39.074208","21.824312",128
151,"Turkey","38.963745","35.243322",128
168,"Syria","34.802075","38.996815",128
210,"Spain","40.463667","-3.74922",128
209,"Portugal","39.399872","-8.224454",128
26,"Morocco","31.791702","-7.09262",128
23,"Tunisia","33.886917","9.537499",128
22,"Libya","26.3351","17.228331",128
25,"Algeria","28.033886","1.659626",128
24,"Egypt","26.820553","30.802498",128
204,"Italy","41.87194","12.56738",129
202,"Greece","39.074208","21.824312",129
151,"Turkey","38.963745","35.243322",129
168,"Syria","34.802075","38.996815",129
210,"Spain","40.463667","-3.74922",129
209,"Portugal","39.399872","-8.224454",129
26,"Morocco","31.791702","-7.09262",129
23,"Tunisia","33.886917","9.537499",129
22,"Libya","26.3351","17.228331",129
25,"Algeria","28.033886","1.659626",129
24,"Egypt","26.820553","30.802498",129
204,"Italy","41.87194","12.56738",130
202,"Greece","39.074208","21.824312",130
151,"Turkey","38.963745","35.243322",130
168,"Syria","34.802075","38.996815",130
210,"Spain","40.463667","-3.74922",130
209,"Portugal","39.399872","-8.224454",130
26,"Morocco","31.791702","-7.09262",130
23,"Tunisia","33.886917","9.537499",130
22,"Libya","26.3351","17.228331",130
25,"Algeria","28.033886","1.659626",130
24,"Egypt","26.820553","30.802498",130
204,"Italy","41.87194","12.56738",131
202,"Greece","39.074208","21.824312",131
151,"Turkey","38.963745","35.243322",131
168,"Syria","34.802075","38.996815",131
210,"Spain","40.463667","-3.74922",131
209,"Portugal","39.399872","-8.224454",131
26,"Morocco","31.791702","-7.09262",131
23,"Tunisia","33.886917","9.537499",131
22,"Libya","26.3351","17.228331",131
25,"Algeria","28.033886","1.659626",131
24,"Egypt","26.820553","30.802498",131
204,"Italy","41.87194","12.56738",132
202,"Greece","39.074208","21.824312",132
151,"Turkey","38.963745","35.243322",132
168,"Syria","34.802075","38.996815",132
210,"Spain","40.463667","-3.74922",132
209,"Portugal","39.399872","-8.224454",132
26,"Morocco","31.791702","-7.09262",132
23,"Tunisia","33.886917","9.537499",132
22,"Libya","26.3351","17.228331",132
25,"Algeria","28.033886","1.659626",132
24,"Egypt","26.820553","30.802498",132
204,"Italy","41.87194","12.56738",133
202,"Greece","39.074208","21.824312",133
151,"Turkey","38.963745","35.243322",133
168,"Syria","34.802075","38.996815",133
210,"Spain","40.463667","-3.74922",133
209,"Portugal","39.399872","-8.224454",133
26,"Morocco","31.791702","-7.09262",133
23,"Tunisia","33.886917","9.537499",133
22,"Libya","26.3351","17.228331",133
25,"Algeria","28.033886","1.659626",133
24,"Egypt","26.820553","30.802498",133
204,"Italy","41.87194","12.56738",134
202,"Greece","39.074208","21.824312",134
151,"Turkey","38.963745","35.243322",134
168,"Syria","34.802075","38.996815",134
210,"Spain","40.463667","-3.74922",134
209,"Portugal","39.399872","-8.224454",134
26,"Morocco","31.791702","-7.09262",134
23,"Tunisia","33.886917","9.537499",134
22,"Libya","26.3351","17.228331",134
25,"Algeria","28.033886","1.659626",134
24,"Egypt","26.820553","30.802498",134
204,"Italy","41.87194","12.56738",135
202,"Greece","39.074208","21.824312",135
151,"Turkey","38.963745","35.243322",135
168,"Syria","34.802075","38.996815",135
210,"Spain","40.463667","-3.74922",135
209,"Portugal","39.399872","-8.224454",135
26,"Morocco","31.791702","-7.09262",135
23,"Tunisia","33.886917","9.537499",135
22,"Libya","26.3351","17.228331",135
25,"Algeria","28.033886","1.659626",135
24,"Egypt","26.820553","30.802498",135
204,"Italy","41.87194","12.56738",136
202,"Greece","39.074208","21.824312",136
151,"Turkey","38.963745","35.243322",136
168,"Syria","34.802075","38.996815",136
210,"Spain","40.463667","-3.74922",136
209,"Portugal","39.399872","-8.224454",136
26,"Morocco","31.791702","-7.09262",136
23,"Tunisia","33.886917","9.537499",136
22,"Libya","26.3351","17.228331",136
25,"Algeria","28.033886","1.659626",136
24,"Egypt","26.820553","30.802498",136
204,"Italy","41.87194","12.56738",137
202,"Greece","39.074208","21.824312",137
151,"Turkey","38.963745","35.243322",137
168,"Syria","34.802075","38.996815",137
210,"Spain","40.463667","-3.74922",137
209,"Portugal","39.399872","-8.224454",137
26,"Morocco","31.791702","-7.09262",137
23,"Tunisia","33.886917","9.537499",137
22,"Libya","26.3351","17.228331",137
25,"Algeria","28.033886","1.659626",137
24,"Egypt","26.820553","30.802498",137
204,"Italy","41.87194","12.56738",138
202,"Greece","39.074208","21.824312",138
151,"Turkey","38.963745","35.243322",138
168,"Syria","34.802075","38.996815",138
210,"Spain","40.463667","-3.74922",138
209,"Portugal","39.399872","-8.224454",138
26,"Morocco","31.791702","-7.09262",138
23,"Tunisia","33.886917","9.537499",138
22,"Libya","26.3351","17.228331",138
25,"Algeria","28.033886","1.659626",138
24,"Egypt","26.820553","30.802498",138
204,"Italy","41.87194","12.56738",249
202,"Greece","39.074208","21.824312",249
151,"Turkey","38.963745","35.243322",249
168,"Syria","34.802075","38.996815",249
210,"Spain","40.463667","-3.74922",249
209,"Portugal","39.399872","-8.224454",249
26,"Morocco","31.791702","-7.09262",249
23,"Tunisia","33.886917","9.537499",249
22,"Libya","26.3351","17.228331",249
25,"Algeria","28.033886","1.659626",249
24,"Egypt","26.820553","30.802498",249
179,"Serbia","44.016521","21.005859",249
204,"Italy","41.87194","12.56738",250
204,"Italy","41.87194","12.56738",251
204,"Italy","41.87194","12.56738",252
204,"Italy","41.87194","12.56738",253
204,"Italy","41.87194","12.56738",254
204,"Italy","41.87194","12.56738",255
204,"Italy","41.87194","12.56738",256
204,"Italy","41.87194","12.56738",257
204,"Italy","41.87194","12.56738",258
204,"Italy","41.87194","12.56738",259
204,"Italy","41.87194","12.56738",260
204,"Italy","41.87194","12.56738",261
204,"Italy","41.87194","12.56738",262
204,"Italy","41.87194","12.56738",263
204,"Italy","41.87194","12.56738",264
204,"Italy","41.87194","12.56738",265
204,"Italy","41.87194","12.56738",266
204,"Italy","41.87194","12.56738",267
204,"Italy","41.87194","12.56738",268
204,"Italy","41.87194","12.56738",269
204,"Italy","41.87194","12.56738",270
202,"Greece","39.074208","21.824312",250
202,"Greece","39.074208","21.824312",251
202,"Greece","39.074208","21.824312",252
202,"Greece","39.074208","21.824312",253
202,"Greece","39.074208","21.824312",254
202,"Greece","39.074208","21.824312",255
202,"Greece","39.074208","21.824312",256
202,"Greece","39.074208","21.824312",257
202,"Greece","39.074208","21.824312",258
202,"Greece","39.074208","21.824312",259
202,"Greece","39.074208","21.824312",260
202,"Greece","39.074208","21.824312",261
202,"Greece","39.074208","21.824312",262
202,"Greece","39.074208","21.824312",263
202,"Greece","39.074208","21.824312",264
202,"Greece","39.074208","21.824312",265
202,"Greece","39.074208","21.824312",266
202,"Greece","39.074208","21.824312",267
202,"Greece","39.074208","21.824312",268
202,"Greece","39.074208","21.824312",269
202,"Greece","39.074208","21.824312",270
151,"Turkey","38.963745","35.243322",250
151,"Turkey","38.963745","35.243322",251
151,"Turkey","38.963745","35.243322",252
151,"Turkey","38.963745","35.243322",253
151,"Turkey","38.963745","35.243322",254
151,"Turkey","38.963745","35.243322",255
151,"Turkey","38.963745","35.243322",256
151,"Turkey","38.963745","35.243322",257
151,"Turkey","38.963745","35.243322",258
151,"Turkey","38.963745","35.243322",259
151,"Turkey","38.963745","35.243322",260
151,"Turkey","38.963745","35.243322",261
151,"Turkey","38.963745","35.243322",262
151,"Turkey","38.963745","35.243322",263
151,"Turkey","38.963745","35.243322",264
151,"Turkey","38.963745","35.243322",265
151,"Turkey","38.963745","35.243322",266
151,"Turkey","38.963745","35.243322",267
151,"Turkey","38.963745","35.243322",268
151,"Turkey","38.963745","35.243322",269
151,"Turkey","38.963745","35.243322",270
168,"Syria","34.802075","38.996815",250
168,"Syria","34.802075","38.996815",251
168,"Syria","34.802075","38.996815",252
168,"Syria","34.802075","38.996815",253
168,"Syria","34.802075","38.996815",254
168,"Syria","34.802075","38.996815",255
168,"Syria","34.802075","38.996815",256
168,"Syria","34.802075","38.996815",257
168,"Syria","34.802075","38.996815",258
168,"Syria","34.802075","38.996815",259
168,"Syria","34.802075","38.996815",260
168,"Syria","34.802075","38.996815",261
168,"Syria","34.802075","38.996815",262
168,"Syria","34.802075","38.996815",263
168,"Syria","34.802075","38.996815",264
168,"Syria","34.802075","38.996815",265
168,"Syria","34.802075","38.996815",266
168,"Syria","34.802075","38.996815",267
168,"Syria","34.802075","38.996815",268
168,"Syria","34.802075","38.996815",269
168,"Syria","34.802075","38.996815",270
210,"Spain","40.463667","-3.74922",250
210,"Spain","40.463667","-3.74922",251
210,"Spain","40.463667","-3.74922",252
210,"Spain","40.463667","-3.74922",253
210,"Spain","40.463667","-3.74922",254
210,"Spain","40.463667","-3.74922",255
210,"Spain","40.463667","-3.74922",256
210,"Spain","40.463667","-3.74922",257
210,"Spain","40.463667","-3.74922",258
210,"Spain","40.463667","-3.74922",259
210,"Spain","40.463667","-3.74922",260
210,"Spain","40.463667","-3.74922",261
210,"Spain","40.463667","-3.74922",262
210,"Spain","40.463667","-3.74922",263
210,"Spain","40.463667","-3.74922",264
210,"Spain","40.463667","-3.74922",265
210,"Spain","40.463667","-3.74922",266
210,"Spain","40.463667","-3.74922",267
210,"Spain","40.463667","-3.74922",268
210,"Spain","40.463667","-3.74922",269
210,"Spain","40.463667","-3.74922",270
209,"Portugal","39.399872","-8.224454",250
209,"Portugal","39.399872","-8.224454",251
209,"Portugal","39.399872","-8.224454",252
209,"Portugal","39.399872","-8.224454",253
209,"Portugal","39.399872","-8.224454",254
209,"Portugal","39.399872","-8.224454",255
209,"Portugal","39.399872","-8.224454",256
209,"Portugal","39.399872","-8.224454",257
209,"Portugal","39.399872","-8.224454",258
209,"Portugal","39.399872","-8.224454",259
209,"Portugal","39.399872","-8.224454",260
209,"Portugal","39.399872","-8.224454",261
209,"Portugal","39.399872","-8.224454",262
209,"Portugal","39.399872","-8.224454",263
209,"Portugal","39.399872","-8.224454",264
209,"Portugal","39.399872","-8.224454",265
209,"Portugal","39.399872","-8.224454",266
209,"Portugal","39.399872","-8.224454",267
209,"Portugal","39.399872","-8.224454",268
209,"Portugal","39.399872","-8.224454",269
209,"Portugal","39.399872","-8.224454",270
26,"Morocco","31.791702","-7.09262",250
26,"Morocco","31.791702","-7.09262",251
26,"Morocco","31.791702","-7.09262",252
26,"Morocco","31.791702","-7.09262",253
26,"Morocco","31.791702","-7.09262",254
26,"Morocco","31.791702","-7.09262",255
26,"Morocco","31.791702","-7.09262",256
26,"Morocco","31.791702","-7.09262",257
26,"Morocco","31.791702","-7.09262",258
26,"Morocco","31.791702","-7.09262",259
26,"Morocco","31.791702","-7.09262",260
26,"Morocco","31.791702","-7.09262",261
26,"Morocco","31.791702","-7.09262",262
26,"Morocco","31.791702","-7.09262",263
26,"Morocco","31.791702","-7.09262",264
26,"Morocco","31.791702","-7.09262",265
26,"Morocco","31.791702","-7.09262",266
26,"Morocco","31.791702","-7.09262",267
26,"Morocco","31.791702","-7.09262",268
26,"Morocco","31.791702","-7.09262",269
26,"Morocco","31.791702","-7.09262",270
23,"Tunisia","33.886917","9.537499",250
23,"Tunisia","33.886917","9.537499",251
23,"Tunisia","33.886917","9.537499",252
23,"Tunisia","33.886917","9.537499",253
23,"Tunisia","33.886917","9.537499",254
23,"Tunisia","33.886917","9.537499",255
